id,municipality,population,date,case,discharged
13101,千代田区,66080,2020-03-31,3,
13102,中央区,168553,2020-03-31,19,
13103,港区,260535,2020-03-31,39,
13104,新宿区,349101,2020-03-31,22,
13105,文京区,236043,2020-03-31,4,
13106,台東区,209463,2020-03-31,15,
13107,墨田区,270218,2020-03-31,5,
13108,江東区,519652,2020-03-31,10,
13109,品川区,412861,2020-03-31,24,
13110,目黒区,287741,2020-03-31,21,
13111,大田区,739548,2020-03-31,15,
13112,世田谷区,939669,2020-03-31,44,
13113,渋谷区,235148,2020-03-31,18,
13114,中野区,342623,2020-03-31,15,
13115,杉並区,585632,2020-03-31,28,
13116,豊島区,300613,2020-03-31,9,
13117,北区,354171,2020-03-31,4,
13118,荒川区,218826,2020-03-31,2,
13119,板橋区,583467,2020-03-31,4,
13120,練馬区,742840,2020-03-31,20,
13121,足立区,683360,2020-03-31,8,
13122,葛飾区,454910,2020-03-31,6,
13123,江戸川区,695241,2020-03-31,8,
13201,八王子市,576383,2020-03-31,4,
13202,立川市,180650,2020-03-31,0,
13203,武蔵野市,148439,2020-03-31,3,
13204,三鷹市,192402,2020-03-31,7,
13205,青梅市,133303,2020-03-31,1,
13206,府中市,263169,2020-03-31,1,
13207,昭島市,112124,2020-03-31,0,
13208,調布市,239754,2020-03-31,1,
13209,町田市,433882,2020-03-31,6,
13210,小金井市,125755,2020-03-31,1,
13211,小平市,196430,2020-03-31,1,
13212,日野市,190018,2020-03-31,3,
13213,東村山市,150289,2020-03-31,0,
13214,国分寺市,128058,2020-03-31,0,
13215,国立市,75129,2020-03-31,0,
13218,福生市,57285,2020-03-31,0,
13219,狛江市,83804,2020-03-31,0,
13220,東大和市,84230,2020-03-31,1,
13221,清瀬市,75136,2020-03-31,0,
13222,東久留米市,116361,2020-03-31,1,
13223,武蔵村山市,71542,2020-03-31,0,
13224,多摩市,147589,2020-03-31,0,
13225,稲城市,91790,2020-03-31,1,
13227,羽村市,54537,2020-03-31,3,
13228,あきる野市,80012,2020-03-31,0,
13229,西東京市,206232,2020-03-31,8,
13303,瑞穂町,32317,2020-03-31,0,
13305,日の出町,17106,2020-03-31,0,
13307,檜原村,1979,2020-03-31,0,
13308,奥多摩町,4863,2020-03-31,0,
13361,大島町,7221,2020-03-31,0,
13362,利島村,347,2020-03-31,0,
13363,新島村,2591,2020-03-31,0,
13364,神津島村,1853,2020-03-31,0,
13381,三宅村,2262,2020-03-31,0,
13382,御蔵島村,335,2020-03-31,0,
13401,八丈町,7086,2020-03-31,0,
13402,青ヶ島村,176,2020-03-31,0,
13421,小笠原村,3057,2020-03-31,0,
99000,都外,,2020-03-31,20,
99100,調査中,,2020-03-31,116,
99101,永寿総合病院関連,,2020-03-31,106,
13101,千代田区,66080,2020-04-01,3,
13102,中央区,168553,2020-04-01,19,
13103,港区,260535,2020-04-01,40,
13104,新宿区,349101,2020-04-01,30,
13105,文京区,236043,2020-04-01,4,
13106,台東区,209463,2020-04-01,19,
13107,墨田区,270218,2020-04-01,5,
13108,江東区,519652,2020-04-01,12,
13109,品川区,412861,2020-04-01,24,
13110,目黒区,287741,2020-04-01,23,
13111,大田区,739548,2020-04-01,16,
13112,世田谷区,939669,2020-04-01,54,
13113,渋谷区,235148,2020-04-01,21,
13114,中野区,342623,2020-04-01,18,
13115,杉並区,585632,2020-04-01,30,
13116,豊島区,300613,2020-04-01,10,
13117,北区,354171,2020-04-01,7,
13118,荒川区,218826,2020-04-01,2,
13119,板橋区,583467,2020-04-01,6,
13120,練馬区,742840,2020-04-01,21,
13121,足立区,683360,2020-04-01,10,
13122,葛飾区,454910,2020-04-01,14,
13123,江戸川区,695241,2020-04-01,8,
13201,八王子市,576383,2020-04-01,4,
13202,立川市,180650,2020-04-01,0,
13203,武蔵野市,148439,2020-04-01,4,
13204,三鷹市,192402,2020-04-01,7,
13205,青梅市,133303,2020-04-01,1,
13206,府中市,263169,2020-04-01,1,
13207,昭島市,112124,2020-04-01,0,
13208,調布市,239754,2020-04-01,1,
13209,町田市,433882,2020-04-01,10,
13210,小金井市,125755,2020-04-01,2,
13211,小平市,196430,2020-04-01,2,
13212,日野市,190018,2020-04-01,4,
13213,東村山市,150289,2020-04-01,0,
13214,国分寺市,128058,2020-04-01,0,
13215,国立市,75129,2020-04-01,0,
13218,福生市,57285,2020-04-01,0,
13219,狛江市,83804,2020-04-01,0,
13220,東大和市,84230,2020-04-01,1,
13221,清瀬市,75136,2020-04-01,0,
13222,東久留米市,116361,2020-04-01,1,
13223,武蔵村山市,71542,2020-04-01,0,
13224,多摩市,147589,2020-04-01,0,
